date,pm2.5,o3,no2,기온(°C),풍속(m/s),강수량(mm),0~9,20~29,80~89,over 100,하차총승객수,입장객 수
2017-04-01,12.24149969632856,0.024,0.026,8.64166666666666,1.8375,0.0,4678,8267,1636,9,9721,17070.0
2017-04-02,25.930316237581543,0.035,0.021,7.9125,2.1625,0.0,4678,8267,1636,9,10397,32457.0
2017-04-03,44.90367177370076,0.036,0.035,10.8374999999999,2.6875,0.0,4678,8267,1636,9,3498,3032.0
2017-04-04,40.14758667832114,0.031,0.042,12.2458333333333,1.51666666666666,0.0,4678,8267,1636,9,5501,3576.0
2017-04-05,24.873408438608294,0.018,0.041,11.9416666666666,1.1125,1.41666666666666,4678,8267,1636,9,3850,1067.0
2017-04-06,9.650215044294676,0.029,0.02,11.2125,2.69999999999999,0.395833333333333,4678,8267,1636,9,3496,1603.0
2017-04-07,21.22521598760116,0.017,0.039,14.375,1.49583333333333,0.0,4678,8267,1636,9,8961,6248.0
2017-04-08,31.743309131934403,0.018,0.039,13.0708333333333,2.1,0.0,4678,8267,1636,9,23936,40887.0
2017-04-09,20.16830818862791,0.027,0.022,13.9249999999999,2.425,0.0625,4678,8267,1636,9,19040,39359.0
2017-04-10,8.644292090720658,0.033,0.022,15.3708333333333,1.875,0.0,4678,8267,1636,9,7603,7589.0
2017-04-11,26.560739827866627,0.036,0.024,15.0208333333333,3.025,0.0,4678,8267,1636,9,8018,7035.0
2017-04-12,36.12389486402509,0.04,0.011,11.7583333333333,3.8375,0.0,4678,8267,1636,9,9692,7538.0
2017-04-13,39.72110246963299,0.038,0.023,11.9916666666666,2.75,0.0,4678,8267,1636,9,9075,7727.0
2017-04-14,28.674555425813125,0.048,0.021,13.1375,3.7875,0.145833333333333,4678,8267,1636,9,8842,3058.0
2017-04-15,36.49939422731401,0.039,0.027,15.8666666666666,1.95416666666666,0.0,4678,8267,1636,9,21611,31747.0
2017-04-16,28.62357058041389,0.028,0.032,17.075,1.09583333333333,0.0,4678,8267,1636,9,19855,37119.0
2017-04-17,27.515677936041413,0.014,0.045,13.9874999999999,1.61666666666666,0.208333333333333,4678,8267,1636,9,3408,2046.0
2017-04-18,15.99166183813416,0.028,0.022,11.4249999999999,3.3125,0.229166666666666,4678,8267,1636,9,4503,2864.0
2017-04-19,49.284257505791444,0.033,0.016,13.0833333333333,3.26666666666666,0.0,4678,8267,1636,9,5945,17909.0
2017-04-20,41.885902912978715,0.026,0.031,12.5875,1.98333333333333,0.0,4678,8267,1636,9,4069,3430.0
2017-04-21,36.55037907271325,0.027,0.032,11.7666666666666,1.65,0.0,4678,8267,1636,9,7284,7265.0
2017-04-22,31.26584007784701,0.03,0.027,13.4874999999999,1.66666666666666,0.0,4678,8267,1636,9,17480,30798.0
2017-04-23,25.98130108298077,0.041,0.024,13.3291666666666,1.79583333333333,0.0,4678,8267,1636,9,14431,40116.0
2017-04-24,23.33903158554765,0.038,0.026,13.1791666666666,2.05,0.0,4678,8267,1636,9,5030,6026.0
2017-04-25,32.32274787682026,0.039,0.03,15.2958333333333,2.34583333333333,0.0,4678,8267,1636,9,6062,5660.0
